,,Redzes uzman?ba (pap?ra versija),,
,,TMT A,TMT B,
Dzimums,V?rdi/min R,"L(sek) P, A","L(sek) P, B",Vecums  
V,17.72,,,7
V,13.03,,,7
V,58.38,80,,7
S,47.57,159,,7
V,13.09,149,,7
S,43.02,128,,7
S,29.19,108,,7
S,26.34,94,,7
V,15.34,,,7
V,5.76,,,8
S,20.09,,,7
S,21.38,,,7
V,11.02,,,7
S,4.48,,,7
V,27.00,,,7
S,21.18,,,6
V,76.52,,,7
S,163.04,33,67,16
V,107.14,26,69,17
V,147.06,29,68,16
V,135.27,20,34,16
S,81.52,54,111,8
S,25.00,68,232,8
V,54.44,39,84,8
S,100.36,24,152,9
S,65.22,,,7
S,70.09,52,166,8
S,35.26,60,134,8
S,29.40,52,,8
S,46.15,61,209,8
S,55.56,38,,9
V,33.63,46,98,9
V,85.23,37,192,9
V,81.52,55,,9
S,83.23,52,,9
V,87.95,77,125,9
S,107.14,62,96,9
S,61.48,57,185,9
V,86.97,53,184,9
V,42.72,83,,9
S,122.95,38,136,10
V,129.31,57,156,9
V,88.19,38,? ,10
V,99.23,56,96,10
V,100.52,60,123,10
V,97.89,42,107,10
S,144.23,44,184,10
V,109.23,59,107,10
V,97.89,71,217,9
S,111.11,44,106,10
S,97.89,58,137,9
S,97.40,31,61,10
V,84.27,32,130,10
S,166.67,40,105,10
V,87.95,38,295,12
S,63.93,40,185,13
V,72.12,46,290,11
V,101.84,,,14
S,159.57,32,,14
V,122.86,82,202,14
V,122.86,57,83,14
S,131.19,50,99,14
V,133.45,48,104,14
S,159.57,35,158,14
V,122.95,33,60,15
S,95.56,36,83,15
S,127.12,35,69,15
S,182.93,22,48,15
S,77.50,30,82,15
S,133.93,31,94,15
V,120.97,30,128,15
S,163.04,27,79,15
V,163.04,36,106,16
V,120.94,34,66,17
V,127.12,24,45,15
S,141.51,23,41,14
V,138.89,35,66,15
S,70.40,,,7
S,13.93,102,,7
V,60.00,58,214,7
V,34.42,79,,7
V,33.00,61,,7
S,25.63,71,251,7
S,19.50,204,,6
V,50.00,,,7
V,30.46,73,,7
V,20.20,205,,7
V,23.76,,,7
S,120.00,47,85,16
S,144.44,22,96,16
V,115.52,48,63,15
S,151.76,27,74,16
V,104.59,32,132,17
S,121.88,48,87,16
V,131.19,29,63,16
V,169.57,33,59,17
V,144.44,39,74,16
S,177.27,25,60,16
V,97.97,53,75,17
V,92.86,44,70,17
S,75.88,27,56,18
S,159.18,33,48,18
V,118.18,23,74,18
V,125.81,33,66,18
S,144.44,52,122,18
S,147.17,32,104,18
V,175.91,26,88,18
S,28.99,,,8
S,38.70,,,8
S,31.80,,,8
V,48.45,,,8
S,63.97,,,8
S,88.24,37,102,9
S,85.16,40,175,9
V,64.71,53,,9
V,61.40,47,?,9
S,37.50,66,137,8
V,130.00,70,,9
S,73.58,,,9
V,52.35,,,8
S,34.56,,,9
S,35.50,,,9
V,57.35,,,9
V,106.29,,,8
S,41.39,,,9
V,64.39,,,9
V,56.12,,,8
S,104.52,45,92,10
S,130.91,51,185,10
S,100.00,46,118,10
V,124.84,43,197,10
S,91.06,49,118,10
V,81.08,49,118,10
S,142.22,27,100,10
S,96.77,28,86,10
V,114.29,37,81,10
S,136.36,63,172,10
S,129.73,53,91,10
S,101.05,47,76,10
V,83.87,,,11
S,87.64,,,11
V,113.91,,,11
V,86.67,,,11
V,90.70,,,12
V,102.63,,,11
S,117.19,,,12
S,90.00,40,,11
V,111.94,33,103,11
V,138.89,59,126,11
V,117.78,97,216,11
S,88.24,38,225,11
V,100.00,40,,10
V,133.71,44,112,11
S,106.67,76,89,11
V,104.00,,,12
V,113.64,,,12
S,118.18,,,12
S,105.41,,,12
S,133.45,,,12
V,114.71,,,12
V,120.00,,,12
S,136.84,,,12
S,84.52,,,12
V,127.87,,,12
S,111.43,,,12
V,142.91,,,11
V,86.00,,,14
V,120.00,,,13
V,169.57,,,13
V,141.82,,,13
V,106.03,,,13
V,110.57,,,13
S,133.45,,,14
S,142.64,,,13
S,122.95,,,13
S,144.44,,,13
S,120.92,,,13
S,104.59,,,13
S,162.50,,,13
V,97.50,,,13
S,141.82,32,66,14
V,138.96,46,99,14
V,182.93,25,53,14
S,131.58,21,66,14
V,169.57,31,79,14
S,127.87,50,75,14
V,93.98,42,68,14
S,156.00,30,54,14
V,112.73,23,?,14
S,161.25,40,52,13
V,102.74,24,71,14
S,162.50,,,13
S,177.27,,,14
S,107.50,,,14
V,105.41,,,14
S,114.71,,,14
S,130.00,,,15
S,141.51,,,15
V,141.51,,,16
V,139.29,,,15
V,107.50,,,15
V,81.88,,,15
S,151.76,,,15
S,123.81,,,15
V,141.82,,,15
S,127.87,,,15
V,139.29,,,15
V,168.26,,,15
V,129.00,,,15
S,159.18,34,56,15
S,159.15,26,54,16
V,159.57,29,66,16
V,130.00,29,54,16
V,150.00,22,56,16
V,152.94,35,52,16
V,162.50,32,50,16
V,131.19,27,44,15
V,137.14,36,63,16
V,156.00,29,41,16
V,141.82,29,75,16
S,165.96,,,15
S,162.50,,,16
S,143.33,,,16
V,173.33,27,87,16
V,124.20,22,57,15
V,134.48,35,57,16
S,148.85,35,62,15
V,104.00,24,64,16
S,161.25,32,70,16
V,131.19,38,121,16
V,128.08,18,59,16
V,109.01,35,74,15
V,137.48,26,56,16
S,159.18,22,37,16
V,142.08,38,61,16
V,104.59,25,150,15
V,152.94,25,62,15
S,138.89,45,76,16
S,187.50,29,57,16
S,182.79,22,43,16
S,161.25,17,53,15
S,162.50,26,57,16
S,174.42,35,78,15
V,165.96,18,44,16
S,166.67,34,148,16
S,153.24,20,52,16
S,147.45,22,43,16
S,154.80,17,35,15
S,165.96,21,61,16
V,157.96,32,78,16
S,147.19,18,63,15
S,144.23,,,16
V,146.04,,,16
S,210.81,30,62,16
S,120.94,,,16
S,148.30,,,16
S,168.26,17,38,17
S,164.47,17,51,17
S,152.94,24,53,17
S,200.53,28,51,17
S,157.56,24,53,17
S,159.18,29,92,17
S,150.00,39,61,17
S,174.42,23,81,17
S,154.96,37,62,17
V,150.38,42,91,11
S,157.96,29,48,17
S,115.91,55,99,11
S,114.00,26,87,11
S,150.58,65,85,11
V,147.93,55,63,17
V,134.05,25,48,17
S,128.08,88,216,11
S,116.24,26,54,12
V,125.27,57,,11
V,147.19,44,94,12
V,119.08,54,96,11
S,92.86,25,91,17
S,164.68,28,62,17
S,160.69,30,56,16
S,156.00,24,47,17
S,118.72,44,63,11
S,126.83,39,78,11
S,181.60,17,42,17
S,187.50,39,90,17
S,156.00,29,63,17
V,163.76,28,56,17
S,177.27,38,115,17
S,88.40,58,109,11
S,173.72,39,50,17
S,146.77,33,59,17
S,190.24,31,64,17
S,202.70,36,67,18
S,164.21,30,51,17
S,198.46,20,50,17
V,108.74,33,89,11
V,76.04,37,88,12
S,166.67,54,58,17
S,173.93,27,63,16
S,185.71,41,61,18
S,200.53,16,43,19
S,156.00,31,50,18
S,152.94,29,60,17
S,133.45,45,92,19
S,141.51,26,57,18
S,147.17,39,84,18
S,144.71,25,64,18
V,136.84,28,63,18
S,148.85,52,104,18
S,175.91,23,37,17
S,159.18,40,75,17
S,162.50,35,50,18
S,144.09,39,57,18
V,119.08,,,13
S,119.08,,,13
S,103.42,,,12
V,146.04,,,13
V,174.42,,,13
V,159.18,,,13
V,96.75,,,13
S,168.26,,,13
S,139.29,,,13
V,104.59,,,13
S,147.17,,,13
S,159.18,,,13
S,156.25,,,13
S,124.84,,,13
V,132.20,,,12
S,174.67,,,13
V,137.14,,,13
S,120.00,,,13
S,147.17,,,13
V,150.00,,,13
V,174.42,,,13
S,151.76,,,12
S,122.95,,,13
V,112.17,,,13
V,114.71,,,13
V,60.94,,,13
S,141.82,,,13
V,114.71,,,13
V,120.00,,,13
V,195.00,,,13
V,121.90,,,13
S,236.36,,,13
V,152.94,,,13
V,151.76,,,13
S,77.58,,,13
S,129.00,,,15
V,123.81,,,14
V,113.04,,,14
V,97.22,,,13
V,161.25,,,14
S,120.92,,,14
S,166.67,,,14
S,165.96,,,14
S,163.04,,,14
V,173.33,,,14
V,147.17,,,13
S,141.82,,,14
S,119.08,,,14
V,124.84,,,14
V,100.52,,,14
V,150.00,,,14
V,144.23,,,14
V,156.25,,,14
S,187.14,,,14
V,129.00,,,14
V,129.00,,,14
S,124.84,,,14
S,153.75,,,14
V,118.18,,,13
S,148.30,,,14
S,114.71,,,14
V,112.17,,,15
V,156.00,,,15
S,187.50,,,15
S,136.84,,,15
S,154.80,,,15
V,126.89,,,15
V,138.89,,,15
S,241.94,,,15
V,144.44,,,15
S,136.84,,,15
S,175.91,,,14
S,150.00,,,15
V,139.64,,,15
S,168.26,,,15
S,107.50,,,15
S,124.17,36,127,11
S,165.96,32,83,11
V,116.31,56,84,11
V,96.10,38,,12
V,124.01,36,133,11
S,114.41,41,71,11
V,78.23,38,138,11
S,137.41,25,74,12
S,143.59,36,89,11
S,120.37,62,75,12
S,82.12,44,73,11
S,116.24,32,85,11
V,97.99,49,101,12
S,125.85,57,66,11
V,118.25,48,58,12
S,112.98,47,87,12
S,148.85,40,82,12
S,127.04,51,79,12
S,153.85,28,57,12
S,109.63,33,72,11
S,151.43,43,57,12
V,137.98,37,52,12
S,155.18,41,64,12
S,120.54,30,68,12
S,117.44,45,96,12
S,106.87,36,102,12
V,139.86,33,63,11
V,109.40,48,68,12
V,137.08,38,72,12
V,140.67,44,75,12
S,134.72,40,95,12
S,108.03,48,121,11
S,126.83,24,94,11
V,145.79,44,,11
S,133.04,45,106,11
S,131.13,25,59,14
V,145.25,34,57,15
V,155.07,28,67,15
V,154.15,30,101,15
V,160.16,32,83,11
V,123.79,48,116,11
S,118.43,44,119,14
S,128.36,37,65,14
S,119.63,36,57,14
V,122.26,66,99,14
V,132.47,42,135,14
V,176.47,23,73,14
V,121.44,25,48,14
S,130.52,20,62,14
S,130.41,28,50,14
V,148.02,36,87,14
S,156.19,27,75,14
V,107.14,23,108,15
V,137.40,24,76,15
V,171.98,38,94,14
S,138.32,41,53,14
S,164.78,20,42,14
V,140.29,33,59,14
S,153.24,24,59,14
S,155.03,27,45,14
S,169.20,32,64,13
S,135.23,23,55,14
V,130.11,25,79,14
V,183.53,24,39,14
V,133.96,34,93,14
V,115.37,65,74,14
S,122.52,27,72,12
S,152.64,60,77,13
S,154.46,25,52,12
S,149.15,44,145,12
S,126.42,64,113,13
V,129.99,42,90,14
S,145.01,30,71,14
S,174.77,39,52,13
S,149.80,32,74,13
S,138.79,34,75,13
S,154.36,51,80,13
S,160.68,57,86,13
V,189.32,29,88,14
V,126.01,33,57,13
S,157.65,35,117,13
V,128.09,38,61,13
V,171.21,27,55,12
S,127.66,28,145,13
V,158.36,21,63,13
S,149.25,31,53,13
S,165.74,61,84,13
V,153.54,19,41,13
V,123.22,22,54,13
S,132.21,38,79,13
S,137.57,43,63,13
V,113.07,,,9
V,41.12,,,9
S,115.69,96,174,10
V,105.41,53,81,10
S,97.75,41,90,11
S,69.00,58,152,10
S,121.46,89,175,10
S,125.44,47,103,10
S,147.45,56,176,10
S,101.69,60,133,10
S,107.29,60,107,8
S,65.93,52,115,8
V,116.84,,,9
S,57.78,34,89,8
S,68.05,60,124,8
V,71.21,96,184,8
S,62.57,62,132,8
S,73.95,63,113,8
S,113.14,45,103,9
S,88.17,60,175,8
V,130.39,43,74,8
V,52.96,38,182,8
V,51.08,61,163,8
V,56.71,,,9
V,15.72,66,377,7
S,58.83,74,141,8
S,85.82,69,353,7
S,94.32,73,109,8
S,63.06,47,314,8
S,91.98,52,103,8
V,106.22,49,203,8
S,33.24,117,172,7
V,98.89,66,278,8
V,95.44,55,134,11
V,71.56,,,9
S,62.08,136,208,8
S,50.10,33,167,8
S,111.08,33,69,10
S,101.55,56,327,11
S,130.22,50,107,10
V,96.30,56,120,10
S,123.87,47,107,10
V,128.79,47,175,10
S,104.86,39,83,10
S,97.01,51,128,10
S,144.15,,,9
s,,40,71,11
v,,22,83,11
S,173.33,,,15
V,169.57,,,15
S,144.44,,,15
S,175.91,,,14
S,157.26,29,62,15
S,154.80,28,37,15
S,151.76,31,59,15
V,173.33,18,37,14
S,125.90,19,47,14
S,169.57,24,61,15
S,150.00,35,108,15
S,157.96,35,54,15
V,131.58,25,39,15
S,152.94,45,81,15
S,52.02,,,7
V,17.06,,,7
V,19.26,,,7
S,41.25,,,7
S,29.52,,,7
S,37.83,,,6
S,42.35,,,7
S,93.98,,,6
S,29.00,,,7
S,29.85,,,7
V,57.10,,,7
S,20.72,,,7
V,20.28,,,7
V,47.79,,,7
S,29.27,,,7
V,32.45,,,6
S,62.48,,,7
S,38.37,,,7
S,30.51,50,,7
V,75.52,58,150,7
V,71.43,114,,7
S,27.86,82,181,8
V,7.50,78,,7
S,39.66,84,314,7
V,34.29,56,166,7
S,12.05,154,,7
S,125.24,,,16
S,152.30,,,16
S,140.34,,,17
S,153.66,,,16
S,187.59,,,16
V,128.69,,,16
V,126.38,,,16
S,156.75,,,16
V,118.66,,,17
V,134.11,,,16
V,139.03,,,17
V,138.81,,,16
V,143.33,14,126,17
V,128.03,,,17
V,155.22,,,17
V,108.07,,,17
S,131.58,,,17
S,162.78,,,17
V,178.64,,,17
S,131.75,,,17
V,128.06,,,18
V,139.21,,,18
S,153.60,,,18
S,179.10,,,17
S,140.69,,,18
S,176.75,,,18
S,104.87,,,8
S,115.59,,,8
V,66.46,,,8
S,47.03,,,8
V,27.97,,,8
V,79.82,,,8
S,48.28,,,8
S,64.21,,,8
V,46.89,,,8
S,72.98,,,8
S,89.23,,,8
S,108.60,,,8
S,34.84,,,8
V,69.14,,,8
V,23.64,70,235,8
V,125.00,39,236,8
V,50.85,49,144,8
V,120.00,43,,8
S,47.14,48,167,8
V,68.94,50,,8
S,53.57,78,238,8
S,73.17,71,,8
V,54.55,,,8
V,60.00,51,,9
S,41.25,70,,8
V,60.00,58,,8
S,82.50,59,122,12
S,166.67,78,243,8
V,103.13,65,132,7
S,83.27,,,9
S,86.37,,,9
S,116.52,,,9
S,103.08,,,9
V,94.70,,,9
V,121.79,,,9
V,148.30,,,9
V,59.55,,,9
S,156.00,,,9
V,25.38,70,,9
S,85.09,45,110,9
V,96.14,56,212,8
S,75.29,57,123,9
S,96.87,52,123,9
V,117.00,54,94,9
S,93.75,48,96,8
S,107.14,66,173,9
S,63.45,,,9
S,62.56,,,9
S,61.44,,,8
S,121.52,,,9
S,93.48,,,9
V,87.58,,,9
S,55.24,,,9
S,88.26,,,9
S,137.08,,,9
V,41.05,56,196,11
V,66.86,35,135,10
S,154.80,34,74,10
S,144.44,32,66,11
S,150.58,29,122,10
V,81.10,,,10
V,91.76,,,11
S,89.66,,,10
S,140.73,,,10
S,84.52,,,10
S,136.84,,,11
V,72.90,,,11
V,95.12,,,10
V,76.47,,,10
V,63.50,,,10
S,87.59,,,10
V,99.58,,,10
S,107.93,,,9
V,95.88,,,10
V,44.10,,,10
S,150.64,,,10
S,162.00,36,154,11
V,108.49,57,107,11
V,127.06,48,109,11
V,88.97,37,114,11
V,80.65,38,148,10
S,124.84,40,80,11
S,100.52,48,103,11
V,131.58,32,79,11
S,110.70,44,83,11
S,109.86,22,60,11
S,93.59,49,108,11
S,71.36,21,51,11
S,106.22,31,75,11
S,121.68,51,69,11
S,128.04,,,11
S,118.05,,,11
V,88.74,,,11
S,115.92,,,11
V,129.75,,,11
V,129.02,,,11
v,,55,,12
S,127.30,,,11
V,90.05,,,11
S,97.42,,,11
V,163.04,25,73,12
S,63.46,44,148,12
V,106.85,41,,12
S,168.26,40,68,12
S,119.08,30,119,12
S,96.30,35,81,12
V,96.59,45,203,12
S,154.80,43,95,12
V,132.41,32,115,8
S,141.82,34,66,12
V,110.48,32,61,12
V,117.82,52,258,12
S,97.01,41,141,12
S,185.71,38,45,12
V,135.79,45,70,12
S,124.58,,,12
V,71.47,,,12
V,150.86,,,12
S,149.80,,,12
S,129.16,,,12
S,139.46,,,12
S,130.15,,,12
V,127.16,,,12
S,133.84,,,12
S,89.13,,,12
V,95.66,,,12
S,157.96,,,12
V,84.12,,,12
S,101.00,,,12
V,155.45,,,11
S,128.87,,,12
V,135.37,,,12
V,84.68,,,12
V,130.89,,,12
S,120.04,,,13
V,118.58,,,13
S,165.61,,,13
V,181.48,,,13
S,164.35,,,13
V,132.29,,,13
V,130.21,,,13
S,127.08,,,13
S,138.59,,,13
s,,37,118,11
V,153.94,,,13
V,96.99,,,12
V,154.76,,,12
S,147.71,,,13
V,146.23,,,13
V,96.42,,,13
V,183.11,,,14
V,184.09,,,14
V,126.27,,,14
V,121.91,,,14
V,121.76,,,14
V,144.86,,,13
V,166.92,,,14
V,127.08,,,13
S,148.90,,,15
V,123.85,,,14
S,150.94,,,14
S,142.40,,,14
S,184.05,,,14
S,148.91,,,14
S,118.40,,,14
V,134.19,,,14
S,139.31,,,14
V,151.96,,,14
S,180.93,,,14
S,143.75,,,14
S,125.02,,,14
S,126.95,,,14
S,170.53,,,13
V,76.51,,,14
S,179.08,,,13
V,138.99,,,15
V,122.75,,,15
V,149.13,,,15
V,162.40,,,16
V,167.49,,,15
V,133.45,,,15
S,125.71,33,68,15
S,151.76,29,54,15
S,140.36,20,153,15
S,165.96,26,68,15
S,97.50,41,55,12
S,125.98,38,98,12
S,91.87,,,9
V,48.44,,,9
V,44.07,,,9
S,45.08,,,9
S,91.10,,,10
S,92.29,,,10
V,89.47,,,11
S,98.39,,,10
S,106.46,,,10
S,120.41,,,9
S,133.93,44,85,12
V,118.35,,,10
V,114.05,,,10
V,95.23,,,8
V,55.69,,,9
V,53.20,,,8
V,29.01,,,8
V,54.07,,,8
V,30.93,,,8
V,48.42,,,8
V,49.32,,,8
S,143.83,52,86,12
S,40.90,,,8
S,79.10,,,8
V,55.55,,,8
S,46.75,,,8
V,67.98,,,8
V,103.64,,,9
S,62.38,,,8
S,77.81,,,9
S,50.04,,,9
S,86.11,,,9
V,75.96,27,132,13
S,96.08,,,9
V,61.01,,,10
S,85.39,,,9
S,78.52,,,9
S,36.86,,,7
S,75.03,,,9
S,47.17,,,7
V,71.96,,,7
V,86.58,,,14
V,143.51,,,13
V,126.32,37,100,13
V,171.35,,,13
V,133.93,,,13
V,133.54,,,13
V,150.91,,,14
V,83.01,,,15
V,141.28,,,14
S,127.10,,,14
S,121.76,,,14
V,128.44,,,14
V,145.93,,,14
V,129.00,27,51,13
V,125.40,,,14
V,120.93,,,14
S,120.61,,,15
S,148.02,,,13
S,115.20,,,14
S,180.56,,,14
S,129.61,,,14
S,152.34,,,14
S,139.29,53,154,13
S,121.83,,,14
S,153.85,,,14
S,174.11,,,14
S,132.06,,,13
S,148.44,50,73,13
S,127.64,41,61,13
S,132.20,36,62,13
S,150.17,43,124,12
S,156.25,,,13
V,121.46,44,152,12
S,150.00,42,187,12
S,109.71,46,101,12
V,60.00,32,146,12
S,137.65,26,85,12
S,125.81,43,99,13
V,151.76,37,121,12
V,113.27,52,104,12
S,102.81,42,145,13
S,181.40,33,153,12
S,150.00,62,84,12
S,135.09,25,50,12
S,91.76,35,96,12
S,139.82,45,85,15
S,144.84,43,126,14
S,182.97,28,55,15
V,144.44,36,77,15
V,124.84,34,55,15
S,117.19,42,69,14
V,141.18,47,62,15
V,160.41,34,69,15
S,141.51,46,79,11
V,140.79,31,106,11
S,135.20,39,70,11
S,122.71,24,93,11
S,82.98,56,187,12
V,109.71,26,67,11
V,23.57,96,293,7
V,101.05,58,96,7
S,141.82,59,217,8
V,164.68,49,102,12
V,60.00,72,,6
V,50.83,62,209,7
S,33.68,98,,7
V,52.31,66,,7
V,81.68,65,,7
V,88.48,62,,8
V,51.91,59,258,8
V,45.54,64,,8
V,89.55,44,?,7
V,26.88,46,?,8
S,153.21,36,227,11
V,66.64,95,222,8
V,41.59,195,,8
S,113.01,56,,9
S,54.67,90,,8
S,131.97,36,106,11
S,122.51,29,77,11
V,80.43,,,10
S,88.31,57,123,11
S,176.07,33,67,10
V,107.61,65,249,11
V,72.07,64,84,12
S,158.22,69,,11
S,116.88,42,122,11
V,94.59,45,134,11
V,140.00,26,62,15
S,56.25,37,158,11
S,101.76,37,94,11
S,130.84,38,,11
V,145.13,37,98,14
V,101.04,27,,14
V,93.39,27,74,14
V,152.94,44,78,12
V,110.08,49,,15
S,132.47,,,10
V,88.25,,,9
S,137.18,,,10
V,98.61,,,10
V,118.24,,,10
V,102.75,,,11
S,136.92,,,10
V,173.33,56,95,12
S,114.58,,,10
V,94.22,,,10
V,84.64,,,10
S,71.47,,,9
S,51.84,,,9
S,78.91,,,9
S,63.76,,,9
S,79.32,,,9
V,66.02,,,9
S,60.71,,,9
V,38.14,67,,7
V,25.82,115,,7
S,12.78,68,,7
V,104.35,69,,7
S,47.94,56,,7
S,60.59,59,,7
S,164.33,61,,7
S,24.47,89,,7
V,20.01,68,,7
V,36.94,54,,7
S,31.10,70,,7
S,24.18,,,7
S,43.66,,,7
S,67.38,,,7
S,77.99,,,7
S,83.81,,,7
S,26.83,,,7
S,19.25,,,7
S,19.96,,,7
S,26.07,,,7
S,19.69,,,7
V,44.22,,,7
V,149.80,,,18
S,146.68,,,18
S,143.65,,,18
V,173.27,,,18
S,55.68,,,8
S,41.95,,,8
V,10.50,,,9
V,36.92,,,8
S,27.84,,,8
S,63.66,,,8
V,109.60,,,8
V,35.45,,,9
S,28.18,,,8
V,123.53,,,9
V,52.48,,,8
V,97.08,,,9
S,64.58,,,8
V,68.35,,,8
S,68.96,,,8
S,57.22,,,8
S,79.99,,,8
V,78.31,,,8
V,27.62,,,8
S,125.24,,,8
S,98.65,,,7
S,91.43,51,275,9
S,122.93,42,64,9
S,104.53,72,201,8
S,124.27,,,9
S,90.27,71,115,9
V,109.09,26,134,9
S,77.34,52,,9
V,80.58,59,177,9
S,67.29,69,,9
V,13.79,58,158,8
V,70.92,73,229,9
S,107.34,49,242,9
V,49.89,98,400,9
S,106.96,74,297,9
V,126.58,53,154,8
S,52.75,58,149,9
V,95.59,50,136,9
V,101.85,29,98,9
S,131.32,46,205,9
V,102.04,111,277,9
V,107.91,67,113,9
S,71.05,66,223,8
S,81.52,79,139,9
S,106.37,86,303,9
V,80.84,53,,9
S,102.74,62,176,9
S,214.29,50,215,9
V,140.19,59,176,9
V,145.45,51,99,11
V,88.44,36,,11
S,134.53,31,62,10
S,154.15,27,102,10
